date,sector,compra,compra_pc,venda,net,net_pc
2006-08-09,Bancos,361447,85.09,41173,320274,75.4
2006-08-09,DTVM'S e Corretoras de Valores,9039,2.13,1124,7915,1.8699999999999999
2006-08-09,Invest Institucional Nacional,50239,11.83,4694,45545,10.73
2006-08-09,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-08-10,Banco Central,3350,0.79,377024,-373674,-87.96
2006-08-10,Bancos,361447,85.09,41173,320274,75.4
2006-08-10,DTVM'S e Corretoras de Valores,9039,2.13,1124,7915,1.8699999999999999
2006-08-10,Invest Institucional Nacional,50239,11.83,4694,45545,10.73
2006-08-10,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-08-11,Banco Central,3350,0.79,377024,-373674,-87.96
2006-08-11,Bancos,361447,85.09,41173,320274,75.4
2006-08-11,DTVM'S e Corretoras de Valores,9039,2.13,1124,7915,1.8699999999999999
2006-08-11,Invest Institucional Nacional,50239,11.83,4694,45545,10.73
2006-08-11,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-08-14,Banco Central,3350,0.79,377024,-373674,-87.96
2006-08-14,Bancos,361447,85.09,41173,320274,75.4
2006-08-14,DTVM'S e Corretoras de Valores,9039,2.13,1124,7915,1.8699999999999999
2006-08-14,Invest Institucional Nacional,50239,11.83,4694,45545,10.73
2006-08-14,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-08-15,Banco Central,3350,0.79,377024,-373674,-87.96
2006-08-15,Bancos,361447,85.09,41173,320274,75.4
